"Rank","Name","Minimum Net Worth","Average","Maximum Net Worth"
"1","Rick Scott (R-Fla)","$166343266","$259663681","$352984096"
"2","Mitt Romney (R-Utah)","$74339128","$174490570","$274642012"
"3","Mike Braun (R-Ind)","$46926266","$136831124","$226735982"
"4","Dean Phillips (D-Minn)","$23308483","$64228240","$105147998"
"5","Harley Rouda (D-Calif)","$23362092","$63497044","$103631996"
"6","John Rose (R-Tenn)","$17399064","$56685531","$95971998"
"7","Gil Cisneros (D-Calif)","-$14230464","$42428267","$99086998"
"8","Van Taylor (R-Texas)","$4075429","$34075712","$64075996"
"9","Dan Meuser (R-Pa)","$11865226","$31746112","$51626999"
"10","Mark Green (R-Tenn)","$8454060","$29356025","$50257990"
"11","Susie Lee (D-Nev)","$12205312","$23918654","$35631997"
"12","Carol Miller (R-WVa)","$12504058","$16037033","$19570008"
"13","Denver Riggleman (R-Va)","$3835003","$14192499","$24549996"
"14","John Joyce (R-Pa)","$7545073","$13097536","$18650000"
"15","Greg Pence (R-Ind)","-$53989","$12605504","$25264997"
"16","TJ Cox (D-Calif)","-$16299969","$11830510","$39960990"
"17","David Trone (D-Md)","-$12025930","$10879534","$33784999"
"18","Jacky Rosen (D-Nev)","$5207178","$10759089","$16311000"
"19","Kelly Armstrong (R-ND)","$4802351","$10536675","$16271000"
"20","Angie Craig (D-Minn)","$4977051","$9529025","$14081000"
"21","Lori Trahan (D-Mass)","-$3884973","$9038004","$21960982"
"22","Michael Patrick Guest (R-Miss)","$3775195","$8751097","$13727000"
"23","Elaine Luria (D-Va)","$3502012","$8516505","$13530999"
"24","Anthony Gonzalez (R-Ohio)","$2797032","$8176515","$13555999"
"25","Donna Shalala (D-Fla)","$2926282","$6758140","$10589999"